general|cancel;Abbrechen
general|revoke;Alles widerrufen
general|category;Datenkategorien
general|location;Standortdaten
general|advertising;Werbung
general|warning;Warnung
general|access;Dateneinsicht Anfordern
general|unrelatedData;Nicht verwandte Datenkategorie
general|bioData;Biometrische Daten
general|dpo;Datenschutzbeauftragter
general|dpo-abbrev;DSB
general|unrelatedDataText;Es ist sehr ungewöhnlich, dass Fingerabdrücke zu Werbezwecken verwendet werden.
general|bioDataText;Fingerabdrücke sind besonders sensibel, da sie es ermöglichen Ihre Identität zu stehlen. Es wird empfohlen, die Zustimmung zur Nutzung von Fingerabdrücken nur dann zu erteilen, wenn dies unbedingt erforderlich ist.
layout|privacy-dashboard;Datenschutz-Dashboard
nav|labels|home;Start
nav|labels|controller;Verantwortlicher
nav|labels|consent;Datenschutzrichtlinie
nav|labels|consent-menu;Einwilligungsmenü
nav|labels|data;Datenkategorien
nav|labels|purposes;Zwecke
nav|labels|help;Einwilligungsassistent
nav|labels|faq;FAQ
nav|labels|glossary;Glossar
dpv|labels|dpv:location;Standortdaten
dpv|labels|dpv:name;Name
dpv|labels|dpv:fingerprint;Fingerabdrücke
dpv|labels|dpv:identityVerification;Identitätsprüfung
dpv|labels|dpv:advertising;Werbung
dpv|labels|dpv:marketing;Marketing
dpv|labels|dpv:age;Alter
dpv|labels|dpv:gender;Geschlecht
dpv|labels|dpv:country;Land
dpv|labels|dpv:preference;Präferenzen
dpv|labels|dpv:behavioral;Verhalten
dpv|labels|dpv:browserHistory;Browser-Verlauf
dpv|labels|dpv:browsingBehavior;Browsing-Verhalten
dpv|labels|dpv:academicResearch;Wissenschaftliche Forschung
dpv|labels|dpv:communication;Kommunikation
dpv|labels|dpv:commercialResearch;Kommerzielle Forschung
dpv|labels|dpv:customerCare;Kundenbetreuung
dpv|labels|dpv:sellDataToThirdParties;Verkauf an Dritte (Daten)
dpv|labels|dpv:sellInsightsToThirdParties;Verkauf an Dritte (Einsichten)
dpv|descriptions|dpv:location;Standortdaten sind Daten, die uns zeigen, wo Sie sich zu welcher Zeit aufgehalten haben. Wir erfassen Standortdaten über GPS, wenn Sie uns dazu die Erlaubnis in unserer mobilen ${we} App erteilt haben. Wir verwenden Ihre Standortdaten, um unsere Werbung anzupassen, unser Marketing geografisch zu planen und um Betrug durch geografische Identitätsprüfung zu verhindern.
dpv|descriptions|dpv:name;Wir erfassen Ihren Namen, um Sie richtig ansprechen zu können. Ihren Namen entnehmen wir Ihrem Nutzerprofil.
dpv|descriptions|dpv:fingerprint;Fingerabdrücke werden verwendet, um Ihre Anmeldedaten zu überprüfen und Identitätsdiebstahl zu verhindern.
dpv|descriptions|dpv:marketing;Marketing ist für uns essentiell, da wir in sehr unterschiedlichen Märkten aktiv sind. Wir erkennen dabei regionale Vorlieben und können so unsere Produkte für Sie als Kunden anpassen.
dpv|descriptions|dpv:advertising;Werbung ist ein integraler Bestandteil unseres Geschäftsmodells, das garantiert, dass wir Ihnen weiterhin unsere Restaurantempfehlungen kostenfrei zur Verfügung stellen können.
dpv|descriptions|dpv:identityVerification;Identitätsprüfung ist ein Sicherheitsprozess bei welchem wir sicherstellen, dass Sie eine echten Person sind und nicht etwa ein Bot. Außerdem dient uns die Identiätsprüfung dazu Betrug, wie zum Beispiel durch Identitäsdiebstahl oder Datendiebstahl, vorzubeugen. Desweiteren stellen wir sicher, dass Sie älter als 16 Jahre alt sind.
dpv|descriptions|dpv:age;Ihr Geburtsdatum und Ihr Alter in Jahren.
dpv|descriptions|dpv:gender;Das Geschlecht, das Sie angegeben haben und dem Sie zugeordnet werden möchten. Eines von 'männlich', 'weiblich', 'divers' oder 'unbekannt'.
dpv|descriptions|dpv:country;Das Land, aus dem Sie auf unsere Dienste zugreifen.
dpv|descriptions|dpv:preference;Präferenzdaten umfassen alle Interaktionen, die Sie während der Nutzung unserer Dienste durchführen und die Ihre Nutzungspräferenzen erkennen lassen. Dazu gehören zum Beispiel Ihre Klicks, Verweildauer und Login-Historie.
dpv|descriptions|dpv:behavioral;Verhaltensdaten sind Interaktionen, die Sie während der Nutzung unserer Dienste durchführen und die nicht auf Ihre Nutzungspräferenzen schließen lassen. Dazu gehören zum Beispiel Ihre Klicks, Verweildauer und Login-Historie.
dpv|descriptions|dpv:browserHistory;Der Verlauf der von Ihnen besuchten Websites.
dpv|descriptions|dpv:browsingBehavior;Alle Interaktionen, die beim Surfen auf Websites aufgezeichnet werden.
dpv|descriptions|dpv:academicResearch;Wissenschaftliche, nicht gewinnorientierte, nicht kommerzielle Forschung.
dpv|descriptions|dpv:communication;Kommunikationsdaten umfassen die gesamte Kommunikation zwischen Ihnen und uns. Dazu gehören E-Mails, Chat-Nachrichten und Gespräche mit unserer Kundenbetreuung.
dpv|descriptions|dpv:commercialResearch;Zwecke im Zusammenhang mit der Durchführung von Forschungsarbeiten in einem kommerziellen Umfeld oder mit der Absicht der Kommerzialisierung, z. B. in einem Unternehmen oder von einem Unternehmen gesponsert.
dpv|descriptions|dpv:customerCare;Kundenbetreuung bezieht sich auf Zwecke, die mit der Bereitstellung von Hilfe, der Lösung von Problemen, der Sicherstellung der Zufriedenheit usw. in Bezug auf die erbrachten Dienstleistungen verbunden sind.
dpv|descriptions|dpv:sellDataToThirdParties;Zwecke, die mit dem Verkauf oder der Weitergabe von Daten oder Informationen an Dritte verbunden sind.
dpv|descriptions|dpv:sellInsightsToThirdParties;Zwecke im Zusammenhang mit dem Verkauf oder der Weitergabe von Erkenntnissen, die aus der Analyse von Daten gewonnen wurden.
btn|labels|consent-guide;Einwilligungsassistent
btn|labels|i-can-not-find-an-answer;Ich finde keine Antwort auf meine Frage
btn|labels|undo-last-change;letzte Änderungen rückgängig machen
btn|labels|submit-changes;Änderungen speichern
btn|labels|see-changes;Änderungen anzeigen
btn|labels|view-changes;Änderungen anzeigen
btn|labels|send-message;Nachricht senden
