general|cancel;Cancel
general|revoke;Revoke all
general|category;Data Categories
general|location;Location Data
general|advertising;Advertising
general|warning;Issues
general|access;Request Data Access
general|unrelatedData;Unrelated Data Category
general|bioData;Biometric Data
general|dpo;Data Protection Officer
general|dpo-abbrev;DPO
general|unrelatedDataText;It is very unusual that fingerprints are used for advertising purposes.
general|bioDataText;Fingerprints are particularly sensitive, since they facilitate identity theft. It is recommended to only provide consent for fingerprint data where absolutely necessary.
layout|privacy-dashboard;privacy dashboard
nav|labels|home;Home
nav|labels|controller;Controller
nav|labels|consent;Privacy Policy
nav|labels|consent-menu;Consent Menu
nav|labels|data;Data
nav|labels|purposes;Purposes
nav|labels|help;Consent Assistant
nav|labels|faq;FAQ
nav|labels|glossary;Glossary
dpv|labels|dpv:location;Location
dpv|labels|dpv:name;Name
dpv|labels|dpv:fingerprint;Fingerprint
dpv|labels|dpv:identityVerification;Identity Verification
dpv|labels|dpv:advertising;Advertising
dpv|labels|dpv:marketing;Marketing
dpv|labels|dpv:age;Age
dpv|labels|dpv:gender;Gender
dpv|labels|dpv:country;Country
dpv|labels|dpv:preference;Preference
dpv|labels|dpv:behavioral;Behavioral
dpv|labels|dpv:browserHistory;Browsing History
dpv|labels|dpv:browsingBehavior;Browsing Behavior
dpv|labels|dpv:academicResearch;Academic Research
dpv|labels|dpv:communication;Communication
dpv|labels|dpv:commercialResearch;Commercial Research
dpv|labels|dpv:customerCare;Customer Care
dpv|labels|dpv:sellDataToThirdParties;Sell Data to Third Parties
dpv|labels|dpv:sellInsightsToThirdParties;Sell Insights to Third Parties
dpv|descriptions|dpv:location;Location data are data that tells us where you have been at what time. We collect location data via GPS if you give permission in our ${we} mobile application. We use your location data to customize our advertising, to plan our marketing geographically, and to prevent fraud via geographic identity verification.
dpv|descriptions|dpv:name;We collect your name to properly address you. We store your name from your profile.
dpv|descriptions|dpv:fingerprint;Fingerprints are used to verify your credentials and prevent identity theft.
dpv|descriptions|dpv:marketing;Marketing is essential for us, as we are active in very different markets. We recognize regional preferences and can thus adapt our products for you as a customer.
dpv|descriptions|dpv:advertising;Advertising is an integral part of our business model, which guarantees that we can continue to provide you with our restaurant recommendations.
dpv|descriptions|dpv:identity-verification;Identity verification is a security process where we ensure that you are a real person and not a bot. We also use identity verification to prevent fraud, such as identity theft or data theft. Furthermore, we make sure that you are older than 16 years old.
dpv|descriptions|dpv:age;Your birth date and your age in years.
dpv|descriptions|dpv:gender;The gender you have indicated you wish to be associated with. One of 'male', 'female', 'diverse', or 'unknown'.
dpv|descriptions|dpv:country;The country you access our services from.
dpv|descriptions|dpv:preference;Preference data comprise all interactions you perform while using our services and that elicit your preferences of usage. This includes for instance your clicks, stay times, and login history.
dpv|descriptions|dpv:behavioral;Behavioral data are interactions you perform while using our services and that do not elicit your preferences of usage. This includes for instance your clicks, stay times, and login history. 
dpv|descriptions|dpv:browserHistory;The history of past websites you visited.
dpv|descriptions|dpv:browsingBehavior;All interactions that are tracked while you browse websites.
dpv|descriptions|dpv:academicResearch;Academic, non-profit, non-commercial research.
dpv|descriptions|dpv:communication;Communication data include all communication between you and us. This includes emails, chat messages and conversations with our customer care.
dpv|descriptions|dpv:commercialResearch;Purposes associated with conducting research in a commercial setting or with intention to commercialise e.g. in a company or sponsored by a company.
dpv|descriptions|dpv:customerCare;Customer Care refers to purposes associated with purposes for providing assistance, resolving issues, ensuring satisfaction, etc. in relation to services provided.
dpv|descriptions|dpv:sellDataToThirdParties;Purposes associated with selling or sharing data or information to third parties.
dpv|descriptions|dpv:sellInsightsToThirdParties;Purposes associated with selling or sharing insights obtained from analysis of data.
btn|labels|consent-guide;Consent Assistant
btn|labels|i-can-not-find-an-answer;I can't find an answer
btn|labels|undo-last-change;Undo last change
btn|labels|submit-changes;Submit Changes
btn|labels|see-changes;See Changes
btn|labels|view-changes;View Changes
btn|labels|send-message;Send message
btn|labels|cancel;Cancel
btn|labels|back;Back
btn|labels|next;Next
btn|labels|view-issues;View issues
btn|labels|fix;Fix
btn|labels|fix-all;Fix All
btn|labels|ignore;Ignore
btn|labels|ignore-all;Ignore All
btn|labels|view;View
btn|labels|visit-website;Visit Website
btn|labels|leave-anyway;Leave Anyway
btn|labels|contact;Contact
snackbar|msg|please-complete-the-consent-guide;You have not yet answered all questions. Please answer all questions to complete the questionnaire.
snackbar|msg|submission-successful;Submission Successful
snackbar|msg|message-sent;Message Sent
placeholder|search-for-a-question-or-an-answer;Search for a question or an answer
updates|1;Policy Update
updates|2;Consent Revocation
updates|3;Consent Request
sidebar-title|navigation;Navigation
sidebar-title|update;Updates
qna|links-and-sources;Links and Sources
qna|header;Frequently Asked Questions (FAQ)
qna|introduction;Find out more about the TRAPEZE privacy dashboard and its underlying concepts. Do not forget to let us (${we}) know if you cannot find information you are interested in.
home|title;Welcome to the TRAPEZE privacy dashboard!
home|explore-btn;View
home|welcome-msg1;Manage your consent and control the processing of your data.\n Click on a card below to get started.
home|welcome-msg2;You can give or revoke your consent based on the following:
home|welcome-msg3;We recommend using the 'Consent Assistant' to express your preferences and match them against your consent decisions.
home|purpose|0|name;Click on the Data Card to see which of your data is processed.\n Withdraw your consent to stop the processing of your data.
home|purpose|1|name;Click on the Purpose Card to see for which purposes your data is processed. \n Withdraw your consent to stop the processing for a specific purpose.
home|help;Consent Assistant
home|items|0|title;Data
home|items|0|filename;/img/data.png
home|items|0|link;/consent?tab=data
home|items|0|content;See which of your data is processed.
home|items|1|title;Purposes
home|items|1|filename;/img/purpose.png
home|items|1|link;/consent?tab=purpose
