general|cancel;Annulla
general|revoke;Cancella tutto
general|category;Categorie di dati
general|location;Dati sulla posizione
general|advertising;Pubblicità
general|warning;Problemi
general|access;Richiesta di Accesso ai Dati
general|unrelatedData;Categorie di dati non correlati
general|bioData;Dati biometrici
general|dpo;Responsabile della protezione dei dati
general|dpo-abbrev;DPD
general|unrelatedDataText;E' molto insolito che le impronte digitali vengano utilizzate per scopi pubblicitari.
general|bioDataText;Le impronte digitali sono particolarmente sensibili, in quanto facilitano il furto di identità. Si raccomanda di fornire il consenso per i dati relativi alle impronte digitali solo se assolutamente necessario.
layout|privacy-dashboard;dashboard sulla privacy
nav|labels|home;Homepage
nav|labels|controller;Responsabile
nav|labels|consent;Informativa sulla privacy
nav|labels|consent-menu;Menu di Consenso
nav|labels|data;Dati
nav|labels|purposes;Scopi
nav|labels|help;Assistente al Consenso
nav|labels|faq;FAQ
nav|labels|glossary;Glossario
dpv|labels|dpv:location;Posizione
dpv|labels|dpv:name;Nome
dpv|labels|dpv:fingerprint;Impronta digitale
dpv|labels|dpv:identityVerification;Verifica dell'identità
dpv|labels|dpv:advertising;Pubblicità
dpv|labels|dpv:marketing;Marketing
dpv|labels|dpv:age;Età
dpv|labels|dpv:gender;Genere
dpv|labels|dpv:country;Paese
dpv|labels|dpv:preference;Preferenza
dpv|labels|dpv:behavioral;Comportamentale
dpv|labels|dpv:browserHistory;Cronologia di navigazione
dpv|labels|dpv:browsingBehavior;Comportamento di navigazione
dpv|labels|dpv:academicResearch;Ricerca accademica
dpv|labels|dpv:communication;Comunicazione
dpv|labels|dpv:commercialResearch;Ricerca commerciale
dpv|labels|dpv:customerCare;Assistenza clienti
dpv|labels|dpv:sellDataToThirdParties;Vendita di dati a terzi
dpv|labels|dpv:sellInsightsToThirdParties;Vendita di approfondimenti a terzi
dpv|descriptions|dpv:location;I dati sulla posizione sono dati che ci dicono dove siete stati in quale momento. Raccogliamo i dati di localizzazione tramite GPS se l'utente fornisce l'autorizzazione nella nostra applicazione mobile ${we}. Utilizziamo i dati sulla posizione dell'utente per personalizzare la nostra pubblicità, per pianificare il nostro marketing a livello geografico e per prevenire le frodi attraverso la verifica dell'identità geografica.
dpv|descriptions|dpv:name;Raccogliamo il vostro nome per indirizzarvi correttamente. Memorizziamo il vostro nome dal vostro profilo.
dpv|descriptions|dpv:fingerprint;Le impronte digitali vengono utilizzate per verificare le credenziali e prevenire il furto di identità.
dpv|descriptions|dpv:marketing;Il marketing è essenziale per noi perché operiamo in mercati molto diversi. Riconosciamo le preferenze regionali e possiamo quindi adattare i nostri prodotti ai vostri clienti.
dpv|descriptions|dpv:advertising;La pubblicità è parte integrante del nostro modello di business, che ci garantisce di continuare a fornirvi le nostre raccomandazioni sui ristoranti.
dpv|descriptions|dpv:identityVerification;La verifica dell'identità è un processo di sicurezza nel quale ci assicuriamo che voi siate delle persone reali e non dei bot. Utilizziamo la verifica dell'identità anche per prevenire un furto d'identità.
dpv|descriptions|dpv:age;La data di nascita e l'età in anni.
dpv|descriptions|dpv:gender;Il genere a cui si è indicato di voler essere associati. Uno tra 'maschio', 'femmina', 'diverso' o 'sconosciuto'.
dpv|descriptions|dpv:country;Il Paese da cui si accede ai nostri servizi.
